QUEST_LV_0400_20161118_000001	凱都拉商團員艾達
QUEST_LV_0400_20161118_000081	我的弟子們分別到不同的地方去蒐集比爾卡斯的精髓。{nl}你只要到奇勒巴空地去蒐集比爾卡斯的精髓就行了。
QUEST_LV_0400_20161118_000082	到奇勒巴空地蒐集比爾卡斯的精髓就可以了。
QUEST_LV_0400_20161118_000083	製作探測器的所需材料都準備好了。{nl}那麼來開始製作探測器吧。
QUEST_LV_0400_20161118_000084	探測器完成了。{nl}把探測器分派給弟子們，讓他們找出造箭者之箭。
QUEST_LV_0400_20161118_000085	{nl}現在搜查造箭者之箭，會變得更加順利的。
QUEST_LV_0400_20161118_000086	如果你要一同加入尋找造箭者之箭，就到泰伊里空地去找吧。{nl}其他地方，我的弟子們會分散去搜查。
QUEST_LV_0400_20161118_000087	{nl}到泰伊里空地之後，在覺得可能會有造箭者之箭的地方使用探測器吧。{nl}造箭者之箭若在附近，探測器就會有所反應。
QUEST_LV_0400_20161118_000088	請到泰伊里空地去，使用探測器尋找造箭者之箭。
QUEST_LV_0400_20161118_000089	噢？你找到造箭者之箭了？{nl}這麼快就找到，感覺我們之前都是在浪費時間呢...
QUEST_LV_0400_20161118_000090	{nl}不愧是啟示者，{nl}辛苦你了。
QUEST_LV_0400_20161118_000091	{nl}現在是該把造箭者之箭交給造箭者大師了。
QUEST_LV_0400_20161118_000092	請務必幫我好好轉交。{nl}希望這麼做，至少能解除造箭者大師對我的誤會。
QUEST_LV_0400_20161118_000093	這...的確是我們祖先製作的造箭者之箭。{nl}沒想到梅坎會這樣乖乖交出來。
QUEST_LV_0400_20161118_000094	{nl}嗯...{nl}這個交給你。{nl}請替我轉告他，把這當作是他為我找到造箭者之箭的獎賞。
QUEST_LV_0400_20161118_000095	{nl}雖然他跌落谷底的名聲不曉得能恢復多少...{nl}但這多少能讓大家知道，他是多麼積極地在為我尋找造箭者之箭。
QUEST_LV_0400_20161118_000096	約定就是約定，還是得先還回去。
QUEST_LV_0400_20161118_000097	這是...造箭者大師所做的證明之箭...{nl}有了這個，大家多少能理解我的真心。
QUEST_LV_0400_20161118_000098	憑藉這個東西，梅坎的名譽，多少能恢復一點。
QUEST_LV_0400_20161118_000099	是旅行者嗎？
QUEST_LV_0400_20161118_000100	{nl}我們是梅伊班的弟子。{nl}我們正在修正卡杜梅爾先王紀念碑中，與露克立斯有關且被扭曲的內容。
QUEST_LV_0400_20161118_000101	{nl}其實，因為卡杜梅爾先王的關係，這些紀念盃差點就被破壞了。{nl}不過巴林偉國王並沒有毀壞這些紀念碑，反而是施了變形魔法，讓人無法解讀。
QUEST_LV_0400_20161118_000102	{nl}為了解開變形魔法來修正紀念碑，我們正在做一些準備。{nl}不過因為怪物的襲擊，讓我們白忙一場。
QUEST_LV_0400_20161118_000103	你要幫助我們，那我就厚著臉皮拜託你了。
QUEST_LV_0400_20161118_000104	{nl}首先，得先找出文件。{nl}那文件上寫著解開變形魔法的方法，但因為受到怪物襲擊，而散落四方。
QUEST_LV_0400_20161118_000105	{nl}雖然我們想找回文件，卻又擔心怪物不曉得什麼時候會襲擊，所以才這麼消極地行動。
QUEST_LV_0400_20161118_000106	{nl}請先到歐蘇羅普空地去尋找吧。
QUEST_LV_0400_20161118_000107	要有那份文件，才有辦法解開魔法並修正紀念碑的內容。
QUEST_LV_0400_20161118_000108	沒想到是這樣一張張散落的。{nl}感謝你替我們把它們蒐集起來。
QUEST_LV_0400_20161118_000109	{nl}那麼現在..
QUEST_LV_0400_20161118_000110	我們得找到能解開魔法的寶珠。{nl}這個寶珠的能量馬上就會耗盡，順便找找能補充寶珠的活力之珠吧。
QUEST_LV_0400_20161118_000111	寶珠會吸收活力之珠釋放的魔力。{nl}所以只要好好利用活力之珠，就能知道寶珠在什麼地方。
QUEST_LV_0400_20161118_000112	使用活力之珠時，活力之珠會釋出魔力。{nl}而魔力會流向寶珠所在之處，當寶珠在吸收魔力時會發出光芒。
QUEST_LV_0400_20161118_000113	{nl}只要到發光的地方去找寶珠就可以了。
QUEST_LV_0400_20161118_000114	使用活力之珠時，魔力會流散而出。{nl}只要跟著魔力，就能找到寶珠。
QUEST_LV_0400_20161118_000115	噢，真的很謝謝你。{nl}現在連寶珠都拿來了...
QUEST_LV_0400_20161118_000116	那麼解開卡杜梅爾國王紀念碑上變形魔法的準備就全數完成了。
QUEST_LV_0400_20161118_000117	你說你消滅了高薩爾？{nl}既然消滅了把我們這三個祭司耍得團團轉的傢伙...
QUEST_LV_0400_20161118_000118	{nl}看來你不是平凡的旅行者呢。
QUEST_LV_0400_20161118_000119	不管怎樣，妨礙我們的高薩爾消失了，那我們就再去一次吧。{nl}去確認看看達勒卡空地那被認為是紀念碑的物體。
QUEST_LV_0400_20161118_000120	這裡長得像這樹木的東西就是紀念碑了，{nl}因為被施了變形魔法，所以看起來是這個模樣。
QUEST_LV_0400_20161118_000121	{nl}那麼我們就用旅行者為我們找來的寶珠來解除變形魔法吧。
QUEST_LV_0400_20161118_000122	現在紀念碑恢復了它原本的面貌。{nl}接著就是確認紀念碑上的內容，修正錯誤的地方。
QUEST_LV_0400_20161118_000123	此紀念碑已經修正完畢，現在該去找其他的紀念碑了。
QUEST_LV_0400_20161118_000124	{nl}和我一起走吧。
QUEST_LV_0400_20161118_000125	在這裡。{nl}現在來解除紀念碑上的變形魔法。
QUEST_LV_0400_20161118_000126	似乎是這些蕨葉的孢子引起麻痺症狀的。{nl}因為麻痺的關係，難以解除紀念碑的變形魔法。
QUEST_LV_0400_20161118_000127	{nl}必須先消除麻痺症狀才行...
QUEST_LV_0400_20161118_000128	{nl}到亞烏斯內空地附近去可以找到米泰力藥草。{nl}據說米泰力藥草能夠減緩所有異常症狀。
QUEST_LV_0400_20161118_000129	米泰力藥草在奧伍斯特空地周邊有很多。
QUEST_LV_0400_20161118_000130	{nl}好像太依賴這樣幫忙的你了，真是抱歉...
QUEST_LV_0400_20161118_000131	在所有女神消失之後，便開始有人否定女神的存在了。{nl}我想要讓他們相信女神的存在。
QUEST_LV_0400_20161118_000132	{nl}不過...{nl}反而讓我自己失去那些人的信任...也弄丟了種子...{nl}{nl}
QUEST_LV_0400_20161118_000133	我好怕...{nl}所有人都會變得不相信我...{nl}我這個祭司...
QUEST_LV_0400_20161118_000134	啊，好多了。{nl}雖然尚未完全恢復，但已經可以解除變形魔法了。
QUEST_LV_0400_20161118_000135	聽說奧施莉奈女神位在連巴伊寶拉的庫魯都無法說明的神秘領域裡。
QUEST_LV_0400_20161118_000136	那麼所謂的神秘領域是什麼樣的地方？長什麼樣子？{nl}讓人好奇的點反而更多了。
QUEST_LV_0400_20161118_000137	據說拉達女神在世伊魯森林裡。{nl}算是離艾勒克斯森林最近的地方了。
QUEST_LV_0400_20161118_000138	只要我去世伊魯森林，就能見到拉達女神了吧？
QUEST_LV_0400_20161118_000139	你能幫我剷除紀念碑周遭的蕨葉嗎？{nl}如果不剷除它們，那在解除魔法的時候，我又會產生麻痺症狀的。
QUEST_LV_0400_20161118_000140	{nl}不過這周遭濕氣很重...大概無法順利燃燒。{nl}找一些比爾卡斯的乾燥皮膚來當作引柴使用應該會比較好。
QUEST_LV_0400_20161118_000141	疾病若是再度猖獗，那奇雷恩地方的人是束手無策的。
QUEST_LV_0400_20161118_000142	我沒想到會有蕨葉引起麻痺症狀。{nl}又給旅行者你添麻煩了。
QUEST_LV_0400_20161118_000143	{nl}不過...不管怎麼看，你都不像是個普通的旅行者。
QUEST_LV_0400_20161118_000144	蕨葉全都燒掉了。{nl}現在我來開始解除紀念碑上的變形魔法。
QUEST_LV_0400_20161118_000145	嗯...已確認過紀念碑，此紀念碑應該不需要修正。
QUEST_LV_0400_20161118_000146	啊，你拿了好多過來呢。{nl}有這麼多，就算濕氣重，也能好好燃燒了。
QUEST_LV_0400_20161118_000147	那麼該是時候找下一個紀念碑了，不過我的麻痺症狀還沒完全痊癒。{nl}怎麼辦呢...
QUEST_LV_0400_20161118_000148	真是感謝啊。{nl}那麼我就把能探測紀念碑的探測裝置給你吧。{nl}在可能是紀念碑的物體附近使用探測裝置就可以了。
QUEST_LV_0400_20161118_000149	到被推測為紀念碑的物體附近，並使用探測裝置吧。{nl}若探測裝置判定是紀念碑，旁邊就會出現圓形，告訴你這是紀念碑。
QUEST_LV_0400_20161118_000150	你找到紀念碑了。{nl}我的麻痺症狀也好多了，那就一起過去吧。
QUEST_LV_0400_20161118_000151	在你來的時候，我已經解除紀念碑上的變形魔法，並確認過紀念碑上的內容了。{nl}不過紀念碑毀損嚴重，難以辨讀。
QUEST_LV_0400_20161118_000152	我在想這附近應該會有紀念碑破片。{nl}請幫我確認一下吧。
QUEST_LV_0400_20161118_000153	那周圍會有紀念碑的碎片。
QUEST_LV_0400_20161118_000154	喔，碎裂的破片還真不少。{nl}讓我來瞧瞧。
QUEST_LV_0400_20161118_000155	透過你帶回來的這些紀念碑破片，我確認了紀念碑的正確內容。{nl}裡面有被扭曲的內容，所以我要接著進行修正作業。
QUEST_LV_0400_20161118_000156	祭司奇達斯
QUEST_LV_0400_20161118_000157	你是為了幫我才來到這裡的嗎？...{nl}真是感謝你。
QUEST_LV_0400_20161118_000158	{nl}不過，這裡的紀念碑很難確認內容。{nl}因為，如你所見，紀念碑周遭都是堅硬的樹幹。
QUEST_LV_0400_20161118_000159	{nl}所以我和布魯納斯本想先進行除草作業，但要拿到除草劑的材料，並不是件易事。
QUEST_LV_0400_20161118_000160	{nl}首先要先拿到具有強烈腐蝕性的比爾卡斯的唾液腺，但牠們的攻擊性太強了...
QUEST_LV_0400_20161118_000161	而且，要拿取比爾卡斯唾液腺的方法也相當繁複...{nl}只能先攻擊比爾卡斯，趁牠變虛弱時再藉機行事了。
QUEST_LV_0400_20161118_000162	在比爾卡斯變得相當虛弱時，餵牠吃米堤哈林草，牠就會開始分泌具有腐蝕性的口水。{nl}此時，殺死比爾卡斯，就能獲得唾液腺了。
QUEST_LV_0400_20161118_000163	牠們有可能會拒絕吃米堤哈林草並進行攻擊，要小心一點。
QUEST_LV_0400_20161118_000164	你拿過來的這些比爾卡斯唾液腺應該是夠了。{nl}不過...
QUEST_LV_0400_20161118_000165	{nl}需要水來稀釋比爾卡斯唾液腺中釋出的毒液...{nl}布魯納斯到普達斯空地去汲水，卻沒有消息，令人擔心。
QUEST_LV_0400_20161118_000166	得沒事才行啊…
QUEST_LV_0400_20161118_000167	祭司布魯納斯
QUEST_LV_0400_20161118_000168	託你的福，活下來了。{nl}喔？你已經拿到比爾卡斯的唾液腺了？
QUEST_LV_0400_20161118_000169	{nl}現在只要再加上我從這裡汲取的水，就能完成除草劑了！{nl}我們回到奇達斯那去吧！
QUEST_LV_0400_20161118_000170	聽說你幫了奇達斯和布魯納斯很多忙。{nl}本來這事沒什麼進展，多虧了你才能收尾，真是謝謝你。
QUEST_LV_0400_20161118_000171	{nl}你果然跟我想的一樣，不是個普通人呢。
QUEST_LV_0400_20161118_000172	{nl}不管怎麼樣，往後你的路途上，都會有女神呵護著。
QUEST_LV_0400_20161118_000173	我們打算將修正過的紀念碑內容整理成書，讓更多人能看到。
QUEST_LV_0400_20161118_000174	{nl}你有時間的話，也讀一讀我們整理出來的書吧。{nl}真的很感謝你幫了這麼多忙。
QUEST_LV_0400_20161118_000175	這個地區疾病猖獗之處，該疾病會使人嚴重發燒終致死亡。{nl}現在疾病是處於消停狀態，不曉得何時會再席捲重來。
QUEST_LV_0400_20161118_000176	{nl}我正在研究那個病。
QUEST_LV_0400_20161118_000177	如果沒有你幫忙，別說是要開發治療劑了，我大概早就患病死亡了。
QUEST_LV_0400_20161118_000178	開發出來的治療劑會送過去給瘟疫醫師大師。{nl}之後我會針對幾種狀況進行實驗，並強化治療劑的效果。
QUEST_LV_0400_20161118_000179	得去比爾卡斯的棲息地看看烏格尼斯的搜查狀況。
QUEST_LV_0400_20161118_000180	負責解除變形魔法的林塔斯狀況有點奇怪。去確認看看發生什麼事情了。
QUEST_LV_0400_20161118_000181	奇達斯移除了硬草，正在確認紀念碑內容。{nl}作業時間變得更長了。
QUEST_LV_0400_20161118_000182	你來啦？{nl}聽說你救了差點落入怪物手中的布魯納斯。
QUEST_LV_0400_20161118_000183	{nl}多虧了你，才把所有材料給搜集起來，布魯納斯也才能平安歸來，十分感謝。{nl}在這段期間，我們將比爾卡斯的唾液腺用水稀釋，製作出了除草劑。
QUEST_LV_0400_20161118_000184	{nl}使用除草劑後，確認紀念碑上是否有與事實不符的內容，會再予以修正。
QUEST_LV_0400_20161118_000185	如預期的，紀念碑上有與事實不符的內容，我已修正好了。{nl}現在我要回到林塔斯那，向他報告所有紀念碑皆已修正完畢。
QUEST_LV_0400_20161118_000186	{nl}謝謝你幫助我們。
QUEST_LV_0400_20161118_000187	對於跟隨我到此的弟子們，我內心只有無限感激。
QUEST_LV_0400_20161118_000188	因為我自己的事情與固執，而無法好好教我的弟子們箭術，我實在覺得很對不起他們。
QUEST_LV_0400_20161118_000189	我是為了學箭術才追隨師父的，想不到沒學到箭術，淨是學了一堆跟雜草有關的事。
QUEST_LV_0400_20161118_000190	沒學箭術，就只是拔草了。{nl}我正在認真考慮乾脆直接回故鄉算了。
QUEST_LV_0400_20161118_000191	我跟師父說過不想再拔草了，他要我們在這稍微等一下。{nl}應該不會是要我們摘樹葉吧？
QUEST_LV_0400_20161118_000192	一直在拔草，連怎麼拿弓都忘了。{nl}我要告訴他，我不要再拔草了，請教我箭術吧。
QUEST_LV_0400_20161118_000193	平常因為不喜歡傑諾納斯這麼直接的口吻，所以常常數落他。{nl}不過多虧了他這種說話方式，我們可以不用再拔草了。
QUEST_LV_0400_20161118_000194	師父說因為自己過去的失誤，讓一個叫做依克拉斯的人成了星之塔的團長。{nl}到底是什麼樣的失誤，會嚴重到星之塔團長換人做？
QUEST_LV_0400_20161118_000195	我們是為了學習箭術才跟隨師父的。{nl}不過現在師父的全部心思都放在尋找造箭者之箭上。
QUEST_LV_0400_20161118_000196	要在如此廣闊的地區尋找弓箭其實是不可能的。
QUEST_LV_0400_20161118_000197	傑諾納斯和亞奎爾拉斯對師父相當的不滿。{nl}像亞奎爾拉斯的個性，就是無法表現出來，總是在心裡忍耐。
QUEST_LV_0400_20161118_000198	傑諾納斯的個性和亞奎爾拉斯正好相反，講話直接，有什麼情緒就立即表現出來。{nl}傑諾納斯到現在都還沒跟師父提過對於搜尋弓箭這件事的不滿，那才是神奇呢。
QUEST_LV_0400_20161118_000199	不僅是我而已，傑諾納斯和亞奎爾拉斯，全都厭倦這種日子了。
QUEST_LV_0400_20161118_000200	我曾經問過師父他到底犯了什麼錯，導致他被星之塔的團員排擠，{nl}當時師父沒說什麼，就只是望著遠方，深深嘆了一口氣。
QUEST_LV_0400_20161118_000201	過去在這座森林裡，利迪亞夏班曾經用造箭者之箭殺死了魔王集布理納斯。{nl}然而，利迪亞夏班卻沒有將那驚人的弓箭收回。
QUEST_LV_0400_20161118_000202	{nl}利迪亞夏班為什麼不收回造箭者之箭呢？
QUEST_LV_0400_20161118_000203	我想說造箭者之箭是恢復師父名譽的關鍵之物，所以很認真尋找。{nl}不過在搜查過程中，卻遭受怪物與魔族的威脅。
QUEST_LV_0400_20161118_000204	{nl}我覺得為了找回師父名聲，我有可能死在半路上，{nl}所以我才向師父吐露我的不滿。
QUEST_LV_0400_20161118_000205	{nl}就算師父對我印象不好，也沒有關係。{nl}這比我和我的同門師兄弟為了找弓箭而死掉好多了。
QUEST_LV_0400_20161118_000206	我無法理解星之塔的團員們針對師父的行為。{nl}雖然我不曉得師父究竟做錯了什麼事...
QUEST_LV_0400_20161118_000207	{nl}再怎麼說他們也是一路走來同甘共苦的夥伴啊，{nl}我覺得星之塔的團員們應該要接受師父才是。
QUEST_LV_0400_20161118_000208	弟子的名譽受損，站在師父的立場上，會有多麽遺憾啊。{nl}看著露克立斯的名譽受污衊，梅伊班一定很難過。
QUEST_LV_0400_20161118_000209	我會接續梅伊班的遺志，矯正世人對露克立斯的印象。
QUEST_LV_0400_20161118_000210	我要矯正從卡杜梅爾國王那時候開始就被扭曲的露克立斯的形象。
QUEST_LV_0400_20161118_000211	就算要扭轉世人對他的印象不是件容易的事，我也一定要做到。
QUEST_LV_0400_20161118_000212	修正世人對露克立斯的錯誤認知，也是正確理解歷史時不可或缺的一部份。
QUEST_LV_0400_20161118_000213	只要確認跟修正完這個紀念碑，我和奇達斯的任務就完成了。
QUEST_LV_0400_20161118_000214	我會修正好這紀念碑的內容，以矯正世人對露克立斯的認知。
QUEST_LV_0400_20161118_000215	好。
QUEST_LV_0400_20161118_000216	那個，旅行者！{nl}請問沒看到我女兒嗎？
QUEST_LV_0400_20161118_000217	{nl}頭髮紮成兩邊，戴著頭巾，{nl}名字叫做瑞爾。
QUEST_LV_0400_20161118_000218	{nl}因為她沒有說她要去哪裡...{nl}我想說也許是去了朋友家，所以也去瑞爾的好友家找過，卻不見人影。
QUEST_LV_0400_20161118_000219	{nl}看起來是到難民村外頭去了。{nl}我請其他人幫我找她，卻沒有人願意幫我。
QUEST_LV_0400_20161118_000220	{nl}當然我知道是因為怪物太危險了...{nl}我真的很鬱悶，又擔心她，所以跑了出來，卻毫無頭緒。
QUEST_LV_0400_20161118_000221	如果有知道什麼地方，我早就去了...{nl}我想只能先從近的地方開始找了吧。
QUEST_LV_0400_20161118_000222	{nl}請幫我先從佛雷伊貝奇斯卡斯伐木場找起吧。{nl}怪物這麼多，到底跑哪兒去了...{nl}
QUEST_LV_0400_20161118_000223	我在神樹之日失去了丈夫，她是我獨自扶養長大的女兒啊。{nl}對我來說，瑞爾就是我的一切了。
QUEST_LV_0400_20161118_000224	{nl}請幫我尋找瑞爾吧，旅行者...{nl}求求你...
QUEST_LV_0400_20161118_000225	這個當媽媽的在做什麼...{nl}竟然不知道獨一無二的女兒為了讓感冒的媽媽溫暖一點，自己跑去找絲線了...
QUEST_LV_0400_20161118_000226	{nl}我不僅無法讓自己的孩子住好吃好，還讓孩子去做這種事...{nl}身為一個母親，我實在太慚愧了...
QUEST_LV_0400_20161118_000227	天啊...{nl}你救了瑞爾，我都不知道要怎麼感謝你了...
QUEST_LV_0400_20161118_000228	{nl}竟然還願意幫我們找絲線...{nl}我身上沒什麼值錢的東西，實在無以回報...
QUEST_LV_0400_20161118_000229	聽說有種叫作白木飛蛾的昆蟲...{nl}會在這附近的草地作繭。
QUEST_LV_0400_20161118_000230	{nl}從牠的繭裡抽取出來的絲是非常堅實的，瑞爾說她就是去找這個。{nl}不知道是從哪聽來的...
QUEST_LV_0400_20161118_000231	{nl}我的女兒還真聰明。
