ETC_00000000_000000	語包版本 : 2020/01/01/13:39
ETC_20150317_000056	藍色水母怪
ETC_20150317_000057	綠色水母怪
ETC_20150317_000058	赤紅水母怪
ETC_20150317_000059	研究家說植物裡有靈魂，那種植物經過變形後就叫水母怪。
ETC_20150317_000060	水母怪幼蟲
ETC_20150317_000061	機角卡洛斯
ETC_20150317_000062	大黃蜂
ETC_20150317_000063	某些人去攻擊他們，還不如被中箭還比較好呢！
ETC_20150317_000064	普朗基
ETC_20150317_000065	露克立斯內戰當時，魔族們秘密地投入了這群人，攻擊露克立斯士兵們一事是歷史上的秘密。
ETC_20150317_000066	藍色普朗基
ETC_20150317_000067	在普朗基裡面他們是最喜歡殺生和奪取的。
ETC_20150317_000068	綠色普朗基
ETC_20150317_000069	戴著稻草面具的臉，沒有人見面他面具下真正的臉。
ETC_20150317_000070	赤紅普朗基
ETC_20150317_000071	巨大普朗基
ETC_20150317_000072	吉嘎利
ETC_20150317_000073	棕色吉嘎利
ETC_20150317_000074	愛好殺戮的魔族走卒。
ETC_20150317_000075	暗黑吉嘎利
ETC_20150317_000076	這些魔族的走卒出現在世界各地，非常活躍。
ETC_20150317_000077	赤紅吉嘎利
ETC_20150317_000078	漁人怪
ETC_20150317_000079	漁人怪歸納在變異形怪物裡是因為魚竿給生命體影響的關係。
ETC_20150317_000080	藍色漁人怪
ETC_20150317_000081	綠色漁人怪
ETC_20150317_000082	赤紅漁人怪
ETC_20150317_000083	漁人怪們的型態有很多地方沒有被說明。
ETC_20150317_000084	燈籠蘑菇精
ETC_20150317_000085	頭上的根莖是用來偵測、引誘的。
ETC_20150317_000086	大燈籠蘑菇精
ETC_20150317_000087	荊棘林蘑菇精
ETC_20150317_000088	梅修花怪
ETC_20150317_000089	梅修花怪的起源是動植物還是礦物這並不重要，比要重要的是要知道他的危險性。
ETC_20150317_000090	大梅修花怪
ETC_20150317_000091	分身米爾堤斯
ETC_20150317_000092	莫雷克
ETC_20150317_000093	迷你蘑菇精
ETC_20150317_000094	綠色蘑菇精
ETC_20150317_000095	赤紅蘑菇精
ETC_20150317_000096	因為是亮色系所以很容易看見，但是要避開並不容易。
ETC_20150317_000097	黃色蘑菇精
ETC_20150317_000098	巨大赤紅蘑菇精
ETC_20150317_000099	大蘑菇精
ETC_20150317_000100	某人說過這樣的話，他們是難以阻擋也難以吞食的怪物。
ETC_20150317_000101	藍色大蘑菇精
ETC_20150317_000102	他們雖然強大又結實，但卻是獵人狩獵時非常不喜歡遇到的怪物。
ETC_20150317_000103	綠色大蘑菇精
ETC_20150317_000104	赤紅大蘑菇精
ETC_20150317_000105	凱帕長老
ETC_20150317_000106	凱帕開花之後會突然變老，要特別注意辛辣味會變得更重。
ETC_20150317_000107	凱斯巴斯凱帕長老
ETC_20150317_000108	暗黑凱帕長老
ETC_20150317_000109	赤紅凱帕長老
ETC_20150317_000110	年紀很大而且顏色也改變了，生存很長時間的凱帕，所以相對的也更加危險。
ETC_20150317_000111	巨大凱帕長老
ETC_20150317_000112	大花草
ETC_20150317_000113	綠色大花草
ETC_20150317_000114	暗黑大花草
ETC_20150317_000115	聽說這植物的葉子比皮革還要硬。
ETC_20150317_000116	赤紅大花草
ETC_20150317_000117	拉普利
ETC_20150317_000118	拉普利變異之後還是會狩獵小昆蟲。
ETC_20150317_000119	藍色拉普利
ETC_20150317_000120	灰色拉普利
ETC_20150317_000121	暗黑拉普利
ETC_20150317_000122	利迪梅得
ETC_20150317_000123	藍色利迪梅得
ETC_20150317_000124	雖然是從草變形而成的，但是現在的模樣完全是堅硬的木材。
ETC_20150317_000125	暗黑利迪梅得
ETC_20150317_000126	赤紅利迪梅得
ETC_20150317_000127	南瓜精
ETC_20150317_000128	就算攻擊他的下肢他也不會倒下。
ETC_20150317_000129	綠色南瓜精
ETC_20150317_000130	橘色南瓜精
ETC_20150317_000131	暗黑南瓜精
ETC_20150317_000132	利卡烏斯
ETC_20150317_000133	綠色幻影亡靈
ETC_20150317_000134	很多時候受到魔族影響的幽靈長相會變得不同。
ETC_20150317_000135	暗黑幻影亡靈
ETC_20150317_000136	斯佩特拉
ETC_20150317_000137	暗黑斯佩特拉
ETC_20150317_000138	和其它亡靈類怪物不同的是，他們大部份就算活著也是具有邪惡靈魂的人。
ETC_20150317_000139	巨大惡靈
ETC_20150317_000140	蠱惑惡靈
ETC_20150317_000141	綠色利卡烏斯
ETC_20150317_000142	斯佩特隆
ETC_20150317_000143	惡靈君主
ETC_20150317_000144	刺球怪
ETC_20150317_000145	此怪物從浮遊型種子變異後，還保存著浮遊能力，而棉絮則變異成為尖刺和堅硬的外皮。
ETC_20150317_000146	大刺球怪
ETC_20150317_000147	樹精
ETC_20150317_000148	藍色樹精
ETC_20150317_000149	綠色樹精
ETC_20150317_000150	樹林妖精
ETC_20150317_000151	樹林妖精不能移動的這個特性，對大家來說真的可說是一種祝福。
ETC_20150317_000152	藍色樹林妖精
ETC_20150317_000153	灰色樹林妖精
ETC_20150317_000154	赤紅樹林妖精
ETC_20150317_000155	黑暗史萊姆
ETC_20150317_000156	就算各種史萊姆的最終型態相似，會根據原形物質差異而生成各種不同的種類。
ETC_20150317_000157	羅斯拉特
ETC_20150317_000158	以札卡里耶爾王陵為基點，將他們配置在各個遺跡以消除侵入者，這個名字是盜墓者們幫他們取的外號。
ETC_20150317_000159	梅達奇亞
ETC_20150317_000160	有時候入侵者並非盜墓者，為了應付這種狀況，宮廷魔法師們創造了梅達奇亞。
ETC_20150317_000161	霍倫
ETC_20150317_000162	為了守護沒有管理者的封閉遺跡，創造了各式各樣的魔法創造物，霍倫也是其中一種。
ETC_20150317_000163	霍倫3
ETC_20150317_000164	瑪厄洛斯
ETC_20150317_000165	王陵石器兵是魔法創造物，就算是強大且老練的重武裝騎士也很難扺抗。
ETC_20150317_000166	樹根貝里
ETC_20150317_000167	不知道理由是什麼，人類非常討厭這個怪物，比起吃東西和生存，他們更喜歡攻擊人類。
ETC_20150317_000168	樹根貝里亞
ETC_20150317_000169	佛蘭普
ETC_20150317_000170	佛蘭普的分身
ETC_20150317_000171	維爾洛
ETC_20150317_000172	維爾洛那
ETC_20150317_000173	粉紅小花怪
ETC_20150317_000174	粉紅小花怪如果死掉身上掉下來的葉子會立刻枯萎。
ETC_20150317_000175	卓柏卡布拉
ETC_20150317_000176	草木災難之後數量變多，和人類爭奪領域的傾向變大。
ETC_20150317_000177	灰色卓柏卡布拉
ETC_20150317_000178	巨大灰色卓柏卡布拉
ETC_20150317_000179	卓柏卡布拉隱密地活動，而這點對人類的來說更加危險。
ETC_20150317_000180	黃色卓柏卡布拉
ETC_20150317_000181	波波小獅王
ETC_20150317_000182	有人說波波小獅王的吼叫聲可以震碎玻璃瓶。
ETC_20150317_000183	薩厄加
ETC_20150317_000184	薩厄加斯
ETC_20150317_000185	天蠍
ETC_20150317_000186	吞吐利亞
ETC_20150317_000187	吞吐斯是具有活力的變異怪物。
ETC_20150317_000188	吞吐斯
ETC_20150317_000189	仙人掌變成吞吐斯之後，乾燥地區的居民本來就艱辛的環境變得更加惡化。
ETC_20150317_000190	貝卡拉貝
ETC_20150317_000191	貝卡拉貝和其他動物相比，他是直接以原來形態怪常化，當然攻擊性除外。
ETC_20150317_000192	賈沛圖
ETC_20150317_000193	此怪物的名稱和他的外貌很搭配，但是個性就完全不一樣了。
ETC_20150317_000194	普巫葛
ETC_20150317_000195	札卡里耶爾所留下的王陵守備設施中的一種。
ETC_20150317_000196	貝亞卡拉斯
ETC_20150317_000197	皮諾
ETC_20150317_000198	早初發現者們覺得賈沛圖和皮諾之間有相似性，所以才取了這種名字。
ETC_20150317_000199	頭盔蟲
ETC_20150317_000200	單純只是強化了體積和攻擊性的這種怪物反而讓人更加安心。
ETC_20150317_000201	寇里妖花
ETC_20150317_000202	這種固定型怪物不只對付人類，會攻擊所有的恆溫動物。
ETC_20150317_000203	寇里妖花露
ETC_20150317_000204	畢卡拉斯
ETC_20150317_000205	起源雖然是王陵的設施，但是目前處於會攻擊所有生命體的故障狀態。
ETC_20150317_000206	柯卡特里斯
ETC_20150317_000207	體積較小的柯卡特里斯，當然要特別注意石化。
ETC_20150317_000208	墳墓狗
ETC_20150317_000209	吉努特卡斯
ETC_20150317_000210	雖然端看外貌有時會和其他怪物搞混，但是他們是人工性的魔法創造物。
ETC_20150317_000211	波庫布
ETC_20150317_000212	不管外表如何，波庫布都是凶暴的野獸。
ETC_20150317_000213	灰色波庫布
ETC_20150317_000214	地奴泰那
ETC_20150317_000215	拉屋地奴泰那
ETC_20150317_000216	丹德爾
ETC_20150317_000217	比丹德爾的棉絮角質化更可怕的是提升的活動力和攻擊性。
ETC_20150317_000218	蠟燭蜘蛛
ETC_20150317_000219	藍色蠟燭蜘蛛
ETC_20150317_000220	黃色蠟燭蜘蛛
ETC_20150317_000221	屍體花
ETC_20150317_000222	藍色屍體花
ETC_20150317_000223	綠色屍體花
ETC_20150317_000224	飛天青蛙
ETC_20150317_000225	青蛙會根據環境的不同而變異成不同型態的怪物，所以也有變形成這種有翅膀的。
ETC_20150317_000226	綠色飛天青蛙
ETC_20150317_000227	灰色飛天青蛙
ETC_20150317_000228	地錢苔
ETC_20150317_000229	地錢苔v2
ETC_20150317_000230	竹葉蟲
ETC_20150317_000231	竹葉蟲是不會餓肚子的。
ETC_20150317_000232	地下墓穴竹葉蟲
ETC_20150317_000233	地錢苔王
ETC_20150317_000234	不祥的地錢苔王
ETC_20150317_000235	薩拉米恩
ETC_20150317_000236	沙琳迪
ETC_20150317_000237	沙爾倫
ETC_20150317_000238	墓地青苔泥人
ETC_20150317_000239	本來是因為好的意圖而製作的，但是因為受到了邪惡氣息的影響而活動的就是青苔泥人。
ETC_20150317_000240	德雷克
ETC_20150317_000241	魔族們為了攻擊塔從魔界遴選出的低階魔族。
ETC_20150317_000242	綠色德雷克
ETC_20150317_000243	魔界裡的低階魔族數量非常龐大，而且種類也很多。
ETC_20150317_000244	暗黑德雷克
ETC_20150317_000245	他們原來是稀有生物，但是最近數量暴增。
ETC_20150317_000246	大柯卡特里斯
ETC_20150317_000247	巨大柯卡特里斯。特別是他的石化危險性，再三強調都不為過。
ETC_20150317_000248	綠色柯卡特
ETC_20150317_000249	赤紅柯卡特
ETC_20150317_000250	賽夸伊亞
ETC_20150317_000251	藍色賽夸伊亞
ETC_20150317_000252	克洛提德
ETC_20150317_000253	藍色克洛提德
ETC_20150317_000254	奴德克奇
ETC_20150317_000255	奴德克奇就目前的數量來看，是不用擔心會滅種的怪物。
ETC_20150317_000256	奴德克奇特
ETC_20150317_000257	賽夸伊亞的火焰
ETC_20150317_000258	離本體太久時間時會自然熄滅。
ETC_20150317_000259	努德鉤子
ETC_20150317_000260	對大的怪物使用鉤子並黏住，是過渡到魔界之後變化最多的怪物。
ETC_20150317_000261	樹妖
ETC_20150317_000262	就算減少伐木還是繼續在樹墩下生出異怪的怪物，在樹木型怪物的殘渣上目擊生成現象。
ETC_20150317_000263	地下墓地青苔泥人
ETC_20150317_000264	根鼠
ETC_20150317_000265	波伊咪
ETC_20150317_000266	樹根田鼠
ETC_20150317_000267	米爾堤斯之眼
ETC_20150317_000268	巨大米爾堤斯之眼
ETC_20150317_000269	石頭
ETC_20150317_000270	布貝消滅用炸彈
ETC_20150317_000271	定時炸彈 (計分地下城專用)
ETC_20150317_000272	定時炸彈
ETC_20150317_000273	OBB石頭
ETC_20150317_000274	男魔法師
ETC_20150317_000275	女魔法師
ETC_20150317_000276	被破壞的封印
ETC_20150317_000277	罪惡的象徵
ETC_20150317_000278	(臨時)監獄管制裝置
ETC_20150317_000279	倒下的警備兵
ETC_20150317_000280	傭兵
ETC_20150317_000281	幽靈士兵
ETC_20150317_000282	逃兵
ETC_20150317_000283	癲狂症戰鬥兵
ETC_20150317_000284	被捆綁的戰鬥員
ETC_20150317_000285	傭兵將校
ETC_20150317_000286	傭兵隊長
ETC_20150317_000287	盾牌傭兵
ETC_20150317_000288	幽靈盔甲
ETC_20150317_000289	巨大幽靈盔甲
ETC_20150317_000290	信徒幽靈
ETC_20150317_000291	幽靈少年
ETC_20150317_000292	幽靈大嬸
ETC_20150317_000293	幽靈小姐
ETC_20150317_000294	信徒幽靈首領
ETC_20150317_000295	信徒幽靈(分身)
ETC_20150317_000296	尖角三眼怪
ETC_20150317_000297	羽翼三眼怪
ETC_20150317_000298	信徒
ETC_20150317_000299	殭屍重步兵
ETC_20150317_000300	魔法書
ETC_20150317_000301	半生不熟的南瓜
ETC_20150317_000302	死得好的洋蔥
ETC_20150317_000303	血多的洋蔥
ETC_20150317_000304	南瓜靶子
ETC_20150317_000305	柵欄
ETC_20150317_000306	防守守護物
ETC_20150317_000307	巴巴烏吉斯
ETC_20150317_000308	羅紗殭屍
ETC_20150317_000309	殭屍狂劍士
ETC_20150317_000310	蠟燭殭屍
ETC_20150317_000311	殭屍弓箭手
ETC_20150317_000312	輪椅殭屍
ETC_20150317_000313	高階布貝弓箭手
ETC_20150317_000314	吸血蝙蝠
ETC_20150317_000315	有一種說法是魔族利用他們當作傳令兵。
ETC_20150317_000316	珍寶布貝
ETC_20150317_000317	布貝掠奪者
ETC_20150317_000318	常被人類目擊的布貝。
ETC_20150317_000319	赤紅布貝掠奪者
ETC_20150317_000320	過去幾年內，布貝社會分化得很厲害，變得愈來愈複雜了。
ETC_20150317_000321	藍色布貝掠奪者
ETC_20150317_000322	布貝礦夫
ETC_20150317_000323	常看見他們採集的模樣所以被灌上這樣的名字，但是因為布貝集團的體制不為世人所知，所以大家也不知道他們的角色究竟為何。
ETC_20150317_000324	赤紅布貝礦夫
ETC_20150317_000325	藍色布貝礦夫
ETC_20150317_000326	巨大布貝礦夫
ETC_20150317_000327	布貝弓箭手
ETC_20150317_000328	布貝弓箭手可以見到鬥士武器特別化的模樣，因此有人主張布貝的職群是很明確的。
ETC_20150317_000329	赤紅布貝弓箭手
ETC_20150317_000330	可以回收並使用布貝們所製作的弓和箭。
ETC_20150317_000331	眼睛
ETC_20150317_000332	眼珠
ETC_20150317_000333	監獄禁卒
ETC_20150317_000334	聖殿十字軍追隨者A1
ETC_20150317_000335	聖殿十字軍追隨者A2
ETC_20150317_000336	聖殿十字軍追隨者A3
ETC_20150317_000337	爆發地雷
ETC_20150317_000338	猛毒地雷
ETC_20150317_000339	對人地雷
ETC_20150317_000340	煉獄地雷
ETC_20150317_000341	村莊居民
ETC_20150317_000342	小天使像
ETC_20150317_000343	大廳石像
ETC_20150317_000344	隱形觸發器怪物型
ETC_20150317_000345	貓頭鷹雕像
ETC_20150317_000346	透明物件
ETC_20150317_000347	火球
ETC_20150317_000348	自走炮大龜殼
ETC_20150317_000349	自走炮龜殼
ETC_20150317_000350	男叛教者(3D)
ETC_20150317_000351	女叛教者(3D)
ETC_20150317_000352	水晶
ETC_20150317_000353	鐵甲殘魔
ETC_20150317_000354	高階布貝鬥士
ETC_20150317_000355	怪物法師
ETC_20150317_000356	砲台(臨時)
ETC_20150317_000357	冰塊
ETC_20150317_000358	冰柱
ETC_20150317_000359	營火
ETC_20150317_000360	地雷
ETC_20150317_000361	大盾
ETC_20150317_000362	零度盾牌
ETC_20150317_000363	骰子
ETC_20150317_000364	投石器
ETC_20150317_000365	蝶林
ETC_20150317_000366	荊棘
ETC_20150317_000367	劍練習台
ETC_20150317_000368	誘餌
ETC_20150317_000369	打擊物件
ETC_20150317_000370	長臂樹怪
ETC_20150317_000371	從灌木變形而成的怪物，將分枝丟棄，用2個樹枝來攻擊人。
ETC_20150317_000372	勒多
ETC_20150317_000373	貝奴凱洛斯
ETC_20150317_000374	有一種說法是警備犬是札卡里耶爾大王親手創造出來的。
ETC_20150317_000375	墓地青苔泥人
ETC_20150317_000376	凱帕奇樹妖
ETC_20150317_000377	波亞塔
ETC_20150317_000378	鐵甲殭屍
ETC_20150317_000379	火焰蜥蜴王
ETC_20150317_000380	薩爾提斯托
ETC_20150317_000381	奇葛拉斯
ETC_20150317_000382	石鯨怪
ETC_20150317_000383	毒魔蛙圖圖
ETC_20150317_000384	約納喬雷
ETC_20150317_000385	神燈魔神
ETC_20150317_000386	比特雷巨蜂
ETC_20150317_000387	伊提斯大嘴獸
ETC_20150317_000388	紅樹林巨獸
ETC_20150317_000389	雷普斯
ETC_20150317_000390	蘑菇卡利亞
ETC_20150317_000391	切波勒
ETC_20150317_000392	魔龍凱拉斯
ETC_20150317_000393	王座大蜘蛛
ETC_20150317_000394	火暴地鼠獸
ETC_20150317_000395	潮濕的蘑菇沃特
ETC_20150317_000396	斯帕勒那絲
ETC_20150317_000397	瑪因洛德
ETC_20150317_000398	拉查托特
ETC_20150317_000399	鬼影凱伊洛
ETC_20150317_000400	赫嘉塞露女妖
ETC_20150317_000401	地獄亡靈
ETC_20150317_000402	蠕動的魯托普士
ETC_20150317_000403	克羅洛鐘
ETC_20150317_000404	遠古石龜獸
ETC_20150317_000405	耶庫
ETC_20150317_000406	毒孢子霸王食人花
ETC_20150317_000407	尖角皮德蟲
ETC_20150317_000408	尼多普巴伊
ETC_20150317_000409	變狂暴的魔花卡諾波
ETC_20150317_000410	墓主洛德
ETC_20150317_000411	艾哈特
ETC_20150317_000412	虛那印
ETC_20150317_000413	鬼眼蜘蛛
ETC_20150317_000414	魔鬼鰩
ETC_20150317_000415	獨眼巨人
ETC_20150317_000416	亞崑
ETC_20150317_000417	蓋洛貝斯寄居蟹
ETC_20150317_000418	狼人
ETC_20150317_000419	提尼
ETC_20150317_000420	因為牠長得很可愛，有很多人試著要馴服牠，但聽說沒有人成功。
ETC_20150317_000421	安布羅樹精
ETC_20150317_000422	安布羅樹精身為魔界起源的怪物，但是和第一印象不同，他並不是從生物或事物變形而成的怪物。
ETC_20150317_000423	小青苔泥人
ETC_20150317_000424	布貝斯夸
ETC_20150317_000425	地鼠獸
ETC_20150317_000426	如果好好地訓練會跟著主人，但問題是主人大部份都是魔族。
ETC_20150317_000427	米堤斯蘭波
ETC_20150317_000428	斯佩摳爾
ETC_20150317_000429	斯凱伯
ETC_20150317_000430	撕裂者
ETC_20150317_000431	撕裂者是從魔族用強力怨魂創造怪物的時候掉下來的副產物起源的怪物。
ETC_20150317_000432	約克巴伊特
ETC_20150317_000433	耶庫是魔界最惡名昭彰的存在，而且生出很多分身散佈各處，約克巴伊特就是其中一種分身的名稱。
ETC_20150317_000434	夏德斯泰爾
ETC_20150317_000435	附身在沒有神性的女神像裡的魔族用自己的造化之物創造的怪物。
ETC_20150317_000436	死產斯凱伯
ETC_20150317_000437	塞爾
ETC_20150317_000438	正確來說並非是草木變形而成的怪物，而是腐壞的草木獲得生命，但是很難找到那個痕跡。
ETC_20150317_000439	利塔斯鋒
ETC_20150317_000440	堤斯鋒
ETC_20150317_000441	蒙修鋒
ETC_20150317_000442	樹精庫爾
ETC_20150317_000443	變成怪物之後木質變堅硬，沒有葉子的樹精庫爾會透過狩獵來補充消息的光合作用能力。
ETC_20150317_000444	西斯特
ETC_20150317_000445	阿蒙
ETC_20150317_000446	阿蒙是古代就存在的怪物，是殘害很多人的怪物。
ETC_20150317_000447	歐涪羅
ETC_20150317_000448	歐涪羅雖然還是維持圓形的模樣，但是攻擊力和殘暴性變得更嚴重。
ETC_20150317_000449	切波勒
ETC_20150317_000450	集合蜜蜂和甲蟲的優點變形而成的怪物，是種充滿殘暴性的怪物，此怪物的體系和蜜蜂相似。
ETC_20150317_000451	毒妖花
ETC_20150317_000452	在被發現是植物變形而成的怪物之前，曾經推測過可能是某種怪物的幼蟲。
ETC_20150317_000453	地獄牛怪
ETC_20150317_000454	因普羅卡拉斯
ETC_20150317_000455	食人花
ETC_20150317_000456	暗黑蝙蝠
ETC_20150317_000457	棲息在王陵的動物最近受到魔氣的影響變形而成的怪物。
ETC_20150317_000458	卡拉斯
ETC_20150317_000459	嚴格來說是青苔泥人的一種，蘊藏著製作者的心願的魔法創造物。
ETC_20150317_000460	阿哈得
ETC_20150317_000461	是為了守護王陵而創造的魔法創造物，雖然不是很強，但是因為充滿女神之力，所以對魔族來說算強的。
ETC_20150317_000462	休塔因
ETC_20150317_000463	這個魔法創造物和其外形不同，因為充滿女神祝福，對魔族來說可能是致命的。
ETC_20150317_000464	圖辛克
ETC_20150317_000465	以圖辛克為首那些安排在王陵的怪物因為魔族的侵入而變得更強。
ETC_20150317_000466	克拉茲達斯
ETC_20150317_000467	奧伯古斯特
ETC_20150317_000468	韋伯
ETC_20150317_000469	有傳聞說韋伯用石頭製成的線來紡織。
ETC_20150317_000470	幽靈范托
ETC_20150317_000471	請不要直視他們頭頂上空虛。
ETC_20150317_000472	毛蟲獸
ETC_20150317_000473	堅硬又具有毒性，重要的是還殘留著吸血本能。
ETC_20150317_000474	因普羅火焰蜥蜴王
ETC_20150317_000475	喬雷
ETC_20150317_000476	喬雷和一般青苔泥人的差異不是靠魔法，而靠其它氣息而移動的。
ETC_20150317_000477	凱帕雷德
ETC_20150317_000478	雖然名稱讓人連想到凱帕，但是嚴格來說牠是透過魔界起源而產生的怪物。
ETC_20150317_000479	蘑菇卡邦
ETC_20150317_000480	樹林哥布林
ETC_20150317_000481	布貝是受到魔族唆使而召喚出來的魔物之一。雖然不知道會出現在哪裡，但是也會出現在布貝不常活動的地區。
ETC_20150317_000482	赤紅樹林哥布林
ETC_20150317_000483	神殿奴隸
ETC_20150317_000484	鈴鈴
ETC_20150317_000485	烏汀
ETC_20150317_000486	石頭歐魯卡
ETC_20150317_000487	變異形怪物具有海豚獨特的外型，具有很罕見的特徵，屬於小型石化鯨。
ETC_20150317_000488	拉札波拉伊特
ETC_20150317_000489	德雷普
ETC_20150317_000490	因為尖銳的尾巴，被認為是克拉伊種類，但是牠其實從南瓜性礦物變形而成的怪物。
ETC_20150317_000491	因普羅大嘴怪
ETC_20150317_000492	從魔族頻繁出現開始，產生了許多變種怪，因普羅大嘴怪也是其中一種變形怪。
ETC_20150317_000493	雷普斯兔子
ETC_20150317_000494	曾經對人類來說是很親密的動物，但是現在變成比熊還要危險的生物了。
ETC_20150317_000495	努窩特
ETC_20150317_000496	青玉鳥
ETC_20150317_000497	米諾斯
ETC_20150317_000498	阿姆里
ETC_20150317_000499	阿姆里因為盔甲充滿邪惡氣息和圖拉漢有差別。
ETC_20150317_000500	魔人雷波
ETC_20150317_000501	鬼影凱伊洛_召喚物
ETC_20150317_000502	獵犬
ETC_20150317_000503	牠背上掛著那個可以稱為尾巴嗎？
ETC_20150317_000504	史塔烏利特
ETC_20150317_000505	雖然身為魔族，但是具有尊敬強者的特性。對弱者殘酷，對強者會更加積極地攻擊，所以和其它怪物也沒有什麼差別。
ETC_20150317_000506	拉札泰特波
ETC_20150317_000507	觸手
ETC_20150317_000508	因普洛博克
ETC_20150317_000509	不確定因普洛博克是何種怪物的小型怪，可以確定的是牠相當兇殘。
ETC_20150317_000510	曼達拉士兵
ETC_20150317_000511	月夜侍女
ETC_20150317_000512	倭克
ETC_20150317_000513	薩爾提斯都托
ETC_20150317_000514	牢獄鬥士
ETC_20150317_000515	如果無聊沒事幹，就是同為魔族士兵也會殺害的怪物。
ETC_20150317_000516	縫蟹
ETC_20150317_000517	斯帕尼希特
ETC_20150317_000518	礦石龜
ETC_20150317_000519	烏龜和礦石的變種小怪，就算同族聚在一起也是各自活動。
ETC_20150317_000520	地下墓穴瑪冠特
ETC_20150317_000521	瑪冠特蛋
ETC_20150317_000522	綠色瑪冠特
ETC_20150317_000523	黃色瑪冠特
ETC_20150317_000524	綠色瑪冠特蛋
ETC_20150317_000525	黃色瑪冠特蛋
ETC_20150317_000526	仙人掌妖精
ETC_20150317_000527	奇魯毛蟲獸
ETC_20150317_000528	火山龜獸
ETC_20150317_000529	德拉涪里溫
ETC_20150317_000530	斯帕娜史霍
ETC_20150317_000531	鋼鐵巴溫
ETC_20150317_000532	布貝追蹤者
ETC_20150317_000533	葛雷斯墨爾
ETC_20150317_000534	巨眼丹提
ETC_20150317_000535	史潘飛行獸人
ETC_20150317_000536	杜梅頓
ETC_20150317_000537	邪惡寶箱怪
ETC_20150317_000538	木乃伊賈西特
ETC_20150317_000539	庫巴斯
ETC_20150317_000540	克萊獰怪
ETC_20150317_000541	派伊羅艾庫
ETC_20150317_000542	庫勒坤魔牛
ETC_20150317_000543	利托雷克斯
ETC_20150317_000544	莫厄
ETC_20150317_000545	巨魔蠍
ETC_20150317_000546	死亡魔女
ETC_20150317_000547	神殿射手
ETC_20150317_000548	死靈查普利
ETC_20150317_000549	米諾牛頭怪
ETC_20150317_000550	地獄三頭犬
ETC_20150317_000551	受到詛咒的惡魔葛洛夫
ETC_20150317_000552	樹林巨獸哥布林
ETC_20150317_000553	赫嘉塞露女妖的分身體
ETC_20150317_000554	浩利魔法師
ETC_20150317_000555	布貝劍士
ETC_20150317_000556	召喚物
ETC_20150317_000557	稻草人
ETC_20150317_000558	聖火
ETC_20150317_000559	高階布貝
ETC_20150317_000560	鐵蒺藜
