QUEST_UNUSED_00000000_000000	UTF-8-DOM問題迴避用
QUEST_UNUSED_20150317_000205	去見佩迪米安的道具商人
QUEST_UNUSED_20150317_000206	和突然出現的劍士大師對話
QUEST_UNUSED_20150317_000207	劍士大師不知為何突然出現在您的面前。請與他對話。
QUEST_UNUSED_20150317_000208	發現隱藏任務
QUEST_UNUSED_20150317_000209	已發現隱藏任務。請在卡汀的密室狩獵報喪女妖。
QUEST_UNUSED_20150317_000210	順利完成了劍士大師的測試了。請去拜訪柯拉佩達的劍士大師。
QUEST_UNUSED_20150317_000211	消滅報喪女妖
QUEST_UNUSED_20150317_000212	和突然出現的法師大師對話
QUEST_UNUSED_20150317_000213	法師大師不知為何突然出現在您的面前。請與他對話。{nl}
QUEST_UNUSED_20150317_000214	拜訪法師大師
QUEST_UNUSED_20150317_000215	順利完成了法師大師的測試了。請去拜訪柯拉佩達的法師大師。
QUEST_UNUSED_20150317_000216	和突然出現的弓箭手大師對話
QUEST_UNUSED_20150317_000217	弓箭手大師不知為何突然出現在您的面前。請與他對話。
QUEST_UNUSED_20150317_000218	出現隱藏任務了。請在卡汀的密室狩獵報喪女妖。
QUEST_UNUSED_20150317_000219	順利完成了弓箭手大師的測試了。請去拜訪柯拉佩達的弓箭手大師。
QUEST_UNUSED_20150317_000220	和突然出現的牧師大師對話
QUEST_UNUSED_20150317_000221	牧師大師不知為何突然出現在您的面前。請與他對話。
QUEST_UNUSED_20150317_000222	順利完成了牧師大師的測試了。請去拜訪柯拉佩達的牧師大師。
QUEST_UNUSED_20150317_000223	守門者貓頭鷹正在打聽關於你而且很高興能有你的消息。請和守門者貓頭鷹對話。
QUEST_UNUSED_20150317_000224	在大教堂中尋找大理石雕像
QUEST_UNUSED_20150317_000225	根據守門者貓頭鷹的說法，貓頭鷹雕像很想報答雕刻家泰斯拉的恩惠。請救出被困在大教堂怪物手中的大理石雕像。
QUEST_UNUSED_20150317_000226	將大理石雕像轉交給雕刻家泰斯拉
QUEST_UNUSED_20150317_000227	已經找到大理石雕像了。請將 大理石雕像帶給瑪凌波石窟的雕刻家泰斯拉。
QUEST_UNUSED_20150323_000228	進入庫萊嶺
QUEST_UNUSED_20150323_000229	移動至萊嶺
QUEST_UNUSED_20150323_000230	收集散佈在庫萊嶺入口的骨灰盆。
QUEST_UNUSED_20150323_000231	已經找到大理石雕像了。請將 大理石雕像帶給瑪凌波石窟的雕刻家泰斯拉。
QUEST_UNUSED_20150714_000232	也許會有危險所以麻煩你幫我消滅周圍的怪物。{nl}我看過洛圖瑪第1遺址的怪物變得非常殘暴。
QUEST_UNUSED_20150714_000233	總之，很好。{nl}我需要徘徊在無名勇士的墳墓的亡靈持有的靈魂精髓 。{nl}不管用何種手段都沒關係，請幫我取得靈魂精髓吧！
QUEST_UNUSED_20150714_000234	不過我想要的只不過是純淨的靈魂。{nl}我希望您將帶來的兩個靈魂石放入禮盒裡並進行淨化。
QUEST_UNUSED_20150714_000235	剛剛您取得的金屬板… 好像還有殘餘下個部分的樣子。{nl}我找到的金屬板好像已經是完整的，真是大事不妙！{nl}
QUEST_UNUSED_20150714_000236	啊好像還漏掉了一個地方沒找，波薩斯街道。{nl}要不要去看看呢？
QUEST_UNUSED_20150714_000237	還順利嗎？{nl}我實在想得不夠遠。
QUEST_UNUSED_20150714_000238	這些是研究文件。只要轉告寒冰法師大師這是我替奇堤斯交的研究資料就可以了。
QUEST_UNUSED_20150714_000239	駕馭那隻群樹林哥布林的巨大傢伙在那裏。
QUEST_UNUSED_20150714_000240	有可能在拉烏基美濕地跟樹林巨獸哥布林碰上喔！{nl}如果真的碰上了，請務必消滅牠們。
QUEST_UNUSED_20150714_000241	實力如其龐大身軀的強大傢伙。請務必小心。
QUEST_UNUSED_20150714_000242	若要跟這些傢伙硬碰硬的話，我勸你多找一些人吧。
QUEST_UNUSED_20150714_000243	我以為你會打倒那傢伙呢…{nl}啟示者比我想的還要強大呢！令人讚嘆！{nl}如果跟啟示者一起並肩作戰的話收復首都應該不是甚麼難事吧！
QUEST_UNUSED_20150714_000244	正在配置引誘物
QUEST_UNUSED_20150714_000245	點火中
QUEST_UNUSED_20150714_000246	Notice/已將靈魂的骨灰盆交給貓頭鷹雕像
QUEST_UNUSED_20150714_000247	安裝鑰匙中
QUEST_UNUSED_20150714_000248	放餌中
QUEST_UNUSED_20150714_000249	除草劑始使用中
QUEST_UNUSED_20150714_000250	Notice/請破壞補給品箱子並追蹤逃亡的布貝族！#10
QUEST_UNUSED_20150714_000251	Notice/請追蹤逃亡的布貝族！#8
QUEST_UNUSED_20150714_000252	Notice/請移動至下一地區。#5
QUEST_UNUSED_20150714_000253	Notice/!/請消滅擋路的雷普斯！#8
QUEST_UNUSED_20150714_000254	Notice/已經消滅擋路的雷普斯！#8
QUEST_UNUSED_20150714_000255	燃燒中
QUEST_UNUSED_20150714_000256	看不見的話就無法讀。
QUEST_UNUSED_20150714_000257	未爆彈處理(1)
QUEST_UNUSED_20150714_000258	詢問如何處理。
QUEST_UNUSED_20150714_000259	請你自行處理。
QUEST_UNUSED_20150714_000260	未爆彈處理(2)
QUEST_UNUSED_20150714_000261	我會處理未爆彈。
QUEST_UNUSED_20150714_000262	直到最後一隻
QUEST_UNUSED_20150714_000263	我會努力看看。
QUEST_UNUSED_20150714_000264	聽說那傢伙難搞所以我會拒絕。
QUEST_UNUSED_20150714_000265	未爆彈處理
QUEST_UNUSED_20150714_000266	來回巡視前哨區域時發現了未爆彈。請向工兵大師詢問未爆彈的處理方法。
QUEST_UNUSED_20150714_000267	工兵大師要說明未爆彈的處理方法。請和工兵大師對話。
QUEST_UNUSED_20150714_000268	解除未爆彈
QUEST_UNUSED_20150714_000269	按照工兵大師所說明的利用解除子彈工具來進行未爆彈回收。
QUEST_UNUSED_20150714_000270	請將回收的未爆彈轉交給工兵大師。
QUEST_UNUSED_20150714_000271	傑普利好像還有事情放在心上。請和他對話。
QUEST_UNUSED_20150714_000272	消滅樹林巨獸哥布林
QUEST_UNUSED_20150714_000273	傑普利請求消滅統帥樹林哥布林的樹林巨獸哥布林。
QUEST_UNUSED_20150714_000274	成功消滅樹林巨獸哥布林。請轉告傑普利這件事。
QUEST_UNUSED_20150717_000275	奎波爾梅伊雷
QUEST_UNUSED_20150717_000276	雪德利佳伊拉
QUEST_UNUSED_20150717_000277	避開石化霜
QUEST_UNUSED_20150717_000278	裝在箱子裡的東西是…？
QUEST_UNUSED_20150717_000279	怪物懷裡的部隊印章
QUEST_UNUSED_20150717_000280	我會收集看看。
QUEST_UNUSED_20150717_000281	不太有興趣。
QUEST_UNUSED_20150717_000282	觀察石化探測器
QUEST_UNUSED_20150717_000283	請觀察沿岸要塞入口的石化探測器。
QUEST_UNUSED_20150717_000284	避開石化霜
QUEST_UNUSED_20150717_000285	觀察探測器的同時突然後面似乎有甚麼正在靠近！大概是石化霜的樣子！請避開石化霜逃到安全的地方！
QUEST_UNUSED_20150717_000286	打開寶箱
QUEST_UNUSED_20150717_000287	位於沿岸要塞一角的寶箱很可疑。請前往確認。
QUEST_UNUSED_20150717_000288	避開石化霜消滅怪物
QUEST_UNUSED_20150717_000289	一打開寶箱，就出現微弱的石化霜向怪物們撲上去！請避開石化霜並消滅怪物們。
QUEST_UNUSED_20150717_000290	請和葳荷米娜凱利奧特對話
QUEST_UNUSED_20150717_000291	取得露克立斯的部隊印章、羊皮紙文件
QUEST_UNUSED_20150717_000292	請在大地要塞尋找利於情報的物品。
QUEST_UNUSED_20150729_000293	差點就出是囉！您好我是奎波爾梅伊雷。{nl}我是來這裡指引未能安息的靈魂。{nl}不過不知道甚麼又會再出現像剛剛那種石化霜，請先不要輕舉妄動啊！
QUEST_UNUSED_20150729_000294	{nl}發現石化探測器，但好像有點故障的樣子…{nl}可以幫我檢查一下探測器嗎？
QUEST_UNUSED_20150729_000295	很久以前魔族和女神們就有股力量維持著他們之間的平衡。{nl}只要彼此不侵犯對方的領土，那股力量就會守護著他們。{nl}但是有一天，魔族先破壞了這樣的平衡下了石化詛咒而導致今天這樣的局面。
QUEST_UNUSED_20150729_000296	多處皆有裝置石化探測器。{nl}您剛剛看到的第一台探測器以順利啟動，再請你檢查剩下的探測器。
QUEST_UNUSED_20150729_000297	希望探測器能順利啟動…
QUEST_UNUSED_20150729_000298	啊，原來是那樣啊！{nl}有兩台故障了。
QUEST_UNUSED_20150729_000299	有關探測器啟動問題問還是問王國軍比較好。{nl}他們就是安裝探測器的人。{nl}去找王國軍將校蕾堤亞問問看的話應該幫得上忙吧？
QUEST_UNUSED_20150729_000300	魔族就是在這一帶下了石化詛咒的…女神們當然要拯救人類。{nl}不過他們已忘記當初約定不干涉彼此國事的規定，魔族們盛怒之下就在別的地區…
QUEST_UNUSED_20150729_000301	{nl}啊連想都會害怕的災難降臨了…{nl}災難嚴重到女神們都不得不放棄救援這被石化的地區…
QUEST_UNUSED_20150729_000302	蕾堤亞正在貝魯克堤廣場。{nl}甚麼？你說你已經知道了？
QUEST_UNUSED_20150729_000303	你說沿岸要塞地區的石化探測器故障了嗎？{nl}我早就知道了，所以我並不怪你
QUEST_UNUSED_20150729_000304	還沒到嗎？我已經派支援兵力到那裏去了。{nl}他們去修理故障的探測器已經過很久了…發生甚麼事了呢…
QUEST_UNUSED_20150729_000305	{nl}可以幫我找找看他們嗎？
QUEST_UNUSED_20150729_000306	看來還是沒消息…可能遭遇到甚麼不測也說不定。{nl}如果你有發現他們的屍體的話，能不能幫我上下翻找看看嗎？{nl}應該會出現有用的物品。或是在周圍的怪物身上…
QUEST_UNUSED_20150729_000307	我常看到沿岸要塞入口一帶的石化霜，在那裏可能被怪物攻擊過或是被石化霜擊中。
QUEST_UNUSED_20150729_000308	支援兵力都被擊中了啊…真可惜！ {nl}以後也得指引他們的靈魂了。
QUEST_UNUSED_20150729_000309	是的。總之請帶著那些零件去修理探測器吧。{nl}我們有事在身，無法離開崗位。請多多諒解。
QUEST_UNUSED_20150729_000310	那些東西是零件。{nl}現在該去修理探測器了。{nl}請小心石化霜。
QUEST_UNUSED_20150729_000311	石化探測器都能正常啟動且運作的話，我想安安份份地指引那些靈魂。
QUEST_UNUSED_20150729_000312	那麼就拜託你了。
